org_name,id,name,email,role,active,notes,group,api_subscription,employee_id,promotion_code,tags,IDs
Express Merchant Service,7524917807,Jennifer Hansen - CE - aparna,jhansen@example.com,admin,True,Likes emojis 😊,Advanced Support - CE,planunderscoregold,,doloratdoloremque,[],367196411674
United Oil & Gas Corp.,7858057707,Kate Hoffman - CE - aparna,katehoffman7@example.com,admin,True,,Tier 2 Support - CE,planunderscoregold,,ullaminventorefuga,[],367196441594
Bob's super ford,7858067547,Anna Dalby - CE - aparna,anna.dalby1@example.com,end-user,True,,,planunderscoregold,,velquasvel,"['subscriptionunderscoresilver', 'productunderscorea', 'chefunderscoredequipe', 'planunderscoregold', 'nounderscorecsat']",367196403354
Eisner Food Stores,7858071167,Aubrey Kaine - CE - aparna,aubreykaine00@example.com,agent,True,,Sales - CE,planunderscoresilver,,natusmolestiasea,[],367196409534
Bodega Club,7858083167,Francis Kind - CE - aparna,franciskind.zen@example.com,agent,True,,Advanced Support - CE,planunderscoregold,,nobisconsecteturenim,[],367239842073
Kleinhans,7858096207,Bunk Moreland - CE - aparna,bunkmoreland410@example.com,admin,True,,Product Support - CE,planunderscoregold,,nisiquodperspiciatis,[],367196423854
ABA English,7858111247,Lester Freamon - CE - aparna,lazendesk@example.com,admin,True,,Product Support - CE,planunderscoresilver,,etplaceatcupiditate,[],367239839593
This name is not unique,7858119547,Marlo Stanfield - CE - aparna,ceenduser@example.com,end-user,True,,,planunderscoregold,15.0,expeditaaliquidipsa,"['gold', 'paid', 'sanunderscorefrancisco', 'co-op', 'vip']",367239874753
Test 815510052462391,7858174327,Emma Lee - CE - aparna,fakecustomer1234@example.com,end-user,True,,,planunderscorebronze,12345.0,eainventorevoluptas,"['planunderscoregold', 'vipunderscoreuser', 'nounderscorecsat']",367239874713
Pro-Care Garden Maintenance,7929155048,Shirin Poeplinghaus - CE - aparna,lucywalsh.zendesk@example.com,agent,True,,Tier 1 Support - CE,planunderscorebronze,,explicabodebitisea,['tier1underscoresupport'],367196434514
Wealthy Ideas,7929180588,Jimmy McNulty - CE - aparna,jmcnulty410@example.com,end-user,True,,,planunderscorebronze,,maximeabquibusdam,"['vipunderscoreuser', 'emea', 'planunderscoresilver', 'resigned']",367196443654
Avant Garde Interior Designs,8129791828,Jennifer Hansen - CE - aparna,fakeagent548@example.com,agent,True,,Advanced Support - CE,planunderscorebronze,,laboresolutapariatur,['vipunderscorecustomer'],367239840053
Gamma Grays,11321745068,Lisa Roth - CE - aparna,lrothrauff@example.com,admin,True,,Product Support - CE,planunderscoregold,,illoomnisnisi,[],367239850553
Test 815510052462391,11321745068,Lisa Roth - CE - aparna,lrothrauff@example.com,admin,True,,Product Support - CE,planunderscoregold,,illoomnisnisi,[],367239874713
Education 360,12946394628,Sample customer - aparna,customer@example.com,end-user,True,,,planunderscoresilver,,remsaepefugiat,[],367196409434
ABA English,13618422767,Em Cino - CE - aparna,franciskind.zen+01@example.com,agent,True,,Product Support - CE,planunderscoresilver,,assumendaconsequaturdicta,[],367239839593
Crazy Tiger,15462603267,Samira Miller - CE - aparna,samira@example.com,agent,True,,Tier 1 Support - CE,planunderscorebronze,,vitaeasunt,[],367196407394
Spaceage Stereo,16255518428,Karen Biscopink - CE - aparna,kbiscopink@example.com,admin,True,,Product Support - CE,planunderscorebronze,,sequiistedicta,[],367239872653
1077207-Moneygram International,16306259928,Robert - aparna,franciskind.zen+1@example.com,admin,True,,Advanced Support - CE,planunderscoresilver,,namlaborepariatur,[],367196395234
1-Stop Connections,17257677007,Jen Doe - CE - aparna,fakecustomer2016@example.com,end-user,True,,,planunderscoregold,123456789.0,inventoreveroprovident,['planunderscoresilver'],367239833453
Mighty Casey's,18025059467,Charles Nadeau - CE - aparna,cnadeau@example.com,admin,True,,Product Support - CE,planunderscorebronze,,veniamfacereea,[],367239863293
sForce,18093484988,Laduma Nguyuza - aparna,laduma@example.com,admin,True,,Product Support - CE,planunderscorebronze,,dictalaborumconsequatur,[],367239872613
Hamady Bros. Supermarkets,18163710208,Fred Flora - CE - aparna,fredflora@example.com,end-user,True,,,planunderscoregold,,expeditasimiliqueneque,"['planunderscoregold', 'nounderscorecsat']",367239850593
Kleinhans,18163710208,Fred Flora - CE - aparna,fredflora@example.com,end-user,True,,,planunderscoregold,,expeditasimiliqueneque,"['planunderscoregold', 'nounderscorecsat']",367196423854
Spaceage Stereo,18163710208,Fred Flora - CE - aparna,fredflora@example.com,end-user,True,,,planunderscoregold,,expeditasimiliqueneque,"['planunderscoregold', 'nounderscorecsat']",367239872653
Farrell's Ice Cream Parlour,18730775647,Jackson Davis - CE - aparna,jdavis@example.com,agent,True,,Product Support - CE,planunderscorebronze,,errorrationequaerat,[],367239850413
Mighty Casey's,22214309548,Megan Browning - CE - aparna,mbrowning@example.com,admin,True,,Product Support - CE,planunderscorebronze,,eumfacerequisquam,[],367239863293
Life Map,22301486087,Mark Banuelos - CE - aparna,mbanuelos@example.com,agent,True,,Product Support - CE,planunderscorebronze,,eaqueconsequunturatque,[],367239861193
The New Org,22407851608,Clark Green - CE - aparna,clarkgreen123@example.com,admin,True,,Product Support - CE,planunderscoregold,,remquodrepellat,[],367196437414
Frame Scene,22983923328,Nick Lopez - aparna,nicklopez123123@example.com,end-user,True,,,planunderscoregold,,mollitiacorruptitemporibus,"['planunderscoresilver', 'vip']",367196413694
MVP Sports,23783206948,Alexander Migale - CE - aparna,agm.zendesk@example.com,admin,True,,Tier 1 Support - CE,planunderscoresilver,,harumblanditiisconsectetur,"['sales', 'training']",367239864413
Clemens Markets,24410956807,Beatrix Abbott - CE - aparna,mbrowning+ba@example.com,admin,True,,Product Support - CE,planunderscoresilver,,perspiciatisperspiciatisprovident,[],367239844293
Merrymaking,24495693028,Cruz Smith - CE - aparna,mbrowning+cs@example.com,agent,True,,Product Support - CE,planunderscorebronze,,quaerecusandaedolorum,[],367239863213
Allied Agent Office,26130084287,Courtney Benjamin-CE - aparna,cb.zendesk@example.com,end-user,True,,,planunderscoresilver,,delenitihicat,"['gold', 'emeaunderscorecustomer', 'london', 'europe']",367196397314
Eisner Food Stores,26309753347,Austin Haukinz - CE - aparna,ahaukinz@example.com,agent,True,,Product Support - CE,planunderscoresilver,,inadest,[],367196409534
